iso3c,date,country,capital_city,longitude,latitude,region,income_level,ARB,SRF,CO2,GDP,POP,URB,ARB_est,SRF_est,CO2_est,GDP_est,POP_est,URB_est,ARB_rnk,SRF_rnk,CO2_rnk,GDP_rnk,POP_rnk,URB_rnk,TOT_rnk,ARB_wgt,SRF_wgt,CO2_wgt,GDP_wgt,POP_wgt,URB_wgt,TOT_wgt
AFG,1993,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7824000,652860,1345.789,,15816603,3391712,7824000,652860,1345.789,3036823554.64325,15816603,3391712,32,40,139,129,52,80,78.6666666666667,0.551428639518246,0.487619808685689,0.0062323433526938,0.0117539991625307,0.286611954145118,0.139574333457617,0.247203513053649
AFG,1994,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7703000,652860,1294.451,,17075727,3677087,7703000,652860,1294.451,3257424941.65845,17075727,3677087,32,40,140,129,50,79,78.3333333333333,0.54386756454141,0.48764499351747,0.00597581073258694,0.0117539991625307,0.304790759809887,0.147837644393652,0.25031179535959
AFG,1995,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7653000,652860,1243.113,,18110657,3916248,7653000,652860,1243.113,3619833035.94245,18110657,3916248,32,40,143,129,49,78,78.5,0.541325572187426,0.487644884218504,0.00563239593589962,0.0117539991625307,0.318543333894187,0.15390500477183,0.25313419836173
AFG,1996,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7647000,652860,1177.107,,18853437,4093835,7647000,652860,1177.107,3695768243.29729,18853437,4093835,32,40,144,128,48,76,78,0.544111205713732,0.487644592754834,0.00518761335417438,0.0117539991625307,0.326849598278404,0.157303732891751,0.255475123692571
AFG,1997,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7685000,652860,1096.433,,19357126,4220821,7685000,652860,1096.433,3677099520.5654,19357126,4220821,32,40,149,131,48,75,79.1666666666667,0.54479059607273,0.487394281298389,0.00481638621814506,0.0117539991625307,0.330852300164008,0.158615557676473,0.256370520098712
AFG,1998,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7757000,652860,1041.428,,19737765,4321584,7757000,652860,1041.428,3668272918.75028,19737765,4321584,32,40,151,132,48,75,79.6666666666667,0.548837877715642,0.487493515751684,0.00460541968255962,0.0117539991625307,0.332724098276493,0.158882547165055,0.257382909625661
AFG,1999,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7653000,652860,821.408,,20170844,4434762,7653000,652860,821.408,3803967950.30621,20170844,4434762,33,40,155.5,130,48,75,80.25,0.541296773698539,0.487493515751684,0.00357480818491092,0.0117539991625307,0.335482711955582,0.159568036945876,0.25652830761652
AFG,2000,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7683000,652860,773.737,,20779953,4587798,7683000,652860,773.737,3925587613.47221,20779953,4587798,32,40,159,128,47,74,80,0.54513773138966,0.487493220913235,0.00327025727783513,0.0117539991625307,0.341093355603145,0.161579776961487,0.258388056884649
AFG,2001,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7683000,652860,817.741,,21606988,4790053,7683000,652860,817.741,3905705978.01808,21606988,4790053,32,40,157,131,47,75,80.3333333333333,0.546283973833587,0.487491799900954,0.00343001795856849,0.0117539991625307,0.350118696688454,0.164950667274529,0.260671525803104
AFG,2002,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7678000,652860,1070.764,4055179566.34981,22600770,5031157,7678000,652860,1070.764,4055179566.34981,22600770,5031157,32,40,153,132,46,74,79.5,0.54777407452105,0.487490253768912,0.00439541584440327,0.0117539991625307,0.361595224645607,0.169268966723296,0.263712989110966
AFG,2003,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7772000,652860,1213.777,4515558808.10994,23680871,5293385,7772000,652860,1213.777,4515558808.10994,23680871,5293385,32,40,152,136,45,73,79.6666666666667,0.552840823334021,0.487488792733313,0.00473901799744336,0.0116592682834552,0.374145100213489,0.174029769693679,0.2674837953759
AFG,2004,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7816000,652860,916.75,5226778808.89209,24726684,5563504,7816000,652860,916.75,5226778808.89209,24726684,5563504,32,40,159,135,45,71,80.3333333333333,0.554798593924256,0.487495548847196,0.00341878893394528,0.0119803502441345,0.385817223668678,0.178755354070524,0.270377643281456
AFG,2005,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7805000,652860,1327.454,6209137624.77181,25654277,5824291,7805000,652860,1327.454,6209137624.77181,25654277,5824291,31,40,153,137,45,71,79.5,0.552405709728746,0.487488423751994,0.00478443485543499,0.0131312862556449,0.395348666488152,0.182904711904792,0.272677205497461
AFG,2006,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7794000,652860,1650.15,6971285594.68013,26433049,6055019,7794000,652860,1650.15,6971285594.68013,26433049,6055019,31,40,147,134,43,72,77.8333333333333,0.555716294561263,0.487487204425915,0.00574398328019719,0.0135956407014881,0.402334418049399,0.185909920765188,0.275131243630575
AFG,2007,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7794000,652860,2273.54,9747879531.86311,27100536,6263747,7794000,652860,2273.54,9747879531.86311,27100536,6263747,31,40,138,126,42,70,74.5,0.556548552425389,0.487487055275294,0.00778758119966151,0.0168754053626397,0.407447098729943,0.188099218632143,0.277374151937512
AFG,2008,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7794000,652860,4206.049,10109225813.6696,27722276,6464835,7794000,652860,4206.049,10109225813.6696,27722276,6464835,31,40,125,133,41,70,73.3333333333333,0.555646133267184,0.48676205994539,0.0138475026031102,0.0159466897998324,0.411680879069952,0.189840150805086,0.278953902581759
AFG,2009,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7793000,652860,6769.282,12439087076.7667,28394813,6680732,7793000,652860,6769.282,12439087076.7667,28394813,6680732,31,40,108,116,41,70,67.6666666666667,0.557180700954697,0.486770505571332,0.022850930012279,0.0206992175068616,0.416559706855203,0.191903064075021,0.282660687495899
AFG,2010,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7793000,652860,8463.436,15856574731.441,29185507,6927764,7793000,652860,8463.436,15856574731.441,29185507,6927764,29,40,98,114,40,69,65,0.558722201071431,0.48676968474941,0.0267705245455891,0.0241143120620809,0.42305603160487,0.194728776959067,0.285693588498741
AFG,2011,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7791000,652860,12240.446,17804292964.1045,30117413,7212518,7791000,652860,12240.446,17804292964.1045,30117413,7212518,30,40,93,117,40,65,64.1666666666667,0.555655059962033,0.486768769379665,0.0373477317191937,0.0243814382622394,0.431501358243976,0.198616262624534,0.289045103365274
AFG,2012,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7790000,652860,10755.311,20001598505.7042,31161376,7528588,7790000,652860,10755.311,20001598505.7042,31161376,7528588,30,40,95,112,40,64,63.5,0.552005325633621,0.486777980798406,0.032223347237823,0.0267693009937581,0.441222864270869,0.203126041234263,0.290354143361457
AFG,2013,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7785000,652860,9050.156,20561069558.2152,32269589,7865067,7785000,652860,9050.156,20561069558.2152,32269589,7865067,30,40,103,112,40,62,64.5,0.550605082851366,0.485892103823406,0.0269835122867914,0.0267600277253672,0.451556380686882,0.207929414966645,0.291621087056743
AFG,2014,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7771000,652860,8467.103,20484885119.7348,33370794,8204877,7771000,652860,8467.103,20484885119.7348,33370794,8204877,30,40,106,112,40,62,65,0.546471037984237,0.485898264531918,0.0250574155571064,0.0259421862042104,0.461505632526425,0.212558000776443,0.292905422930057
AFG,2015,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7765000,652860,9035.488,19907111418.9938,34413603,8535606,7765000,652860,9035.488,19907111418.9938,34413603,8535606,30,40,106,113,40,60,64.8333333333333,0.542485071466462,0.485888560033097,0.0267855695651592,0.0266446992337993,0.470418503922742,0.216712110158869,0.294822419063355
AFG,2016,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7765000,652860,9035.488,18017749073.9033,35383128,8852859,7765000,652860,9035.488,18017749073.9033,35383128,8852859,30,40,106,117,39,61,65.5,0.542485071466462,0.485932581453638,0.0267855695651592,0.0237523176861989,0.47809810321093,0.220308509265296,0.296227025441281
AFG,2017,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7765000,652860,9035.488,18869945677.9599,36296400,9164841,7765000,652860,9035.488,18869945677.9599,36296400,9164841,30,40,106,117,39,60,65.3333333333333,0.542485071466462,0.485932581453638,0.0267855695651592,0.0233685866024824,0.48488582326798,0.223622996990874,0.297846771557766
AFG,2018,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7765000,652860,9035.488,18353881129.881,37172386,9477100,7765000,652860,9035.488,18353881129.881,37172386,9477100,30,40,106,119,38,60,65.5,0.542485071466462,0.485932581453638,0.0267855695651592,0.0213746574672232,0.491152289960012,0.22685448974083,0.299097443275554
AFG,2019,Afghanistan,Kabul,69.1761,34.5228,South Asia,Low income,7765000,652860,9035.488,19291104007.8299,38041754,9797273,7765000,652860,9035.488,19291104007.8299,38041754,9797273,30,40,106,118,37,60,65.1666666666667,0.542485071466462,0.485932581453638,0.0267855695651592,0.0221177506738477,0.497279880967142,0.230164710942298,0.300794260844758
AGO,1990,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,2900000,1246700,5115.465,11228764963.1618,11848386,4400964,2900000,1246700,5115.465,11228764963.1618,11848386,4400964,61,22,102,77,58,67,64.5,0.204019923725666,0.931159033962634,0.022970549051051,0.0491969131258866,0.225261963920735,0.194847837362445,0.271242703524736
AGO,1991,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,2950000,1246700,5089.796,10603784541.197,12248901,4725626,2950000,1246700,5089.796,10603784541.197,12248901,4725626,59.5,22,100,79,59,67,64.4166666666667,0.207031320566312,0.931158825263725,0.0225787974741553,0.0439958447696352,0.229054591309336,0.204048318454963,0.272977949639688
AGO,1992,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,5196.139,8307810973.58848,12657366,5067883,3000000,1246700,5196.139,8307810973.58848,12657366,5067883,59,22,103,84,59,65,65.3333333333333,0.210882999616919,0.931158464400396,0.0243139996417054,0.0325927120427027,0.232945854719088,0.213570010817536,0.274244006873058
AGO,1993,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,5775.525,5768720421.61367,13075049,5427584,3000000,1246700,5775.525,5768720421.61367,13075049,5427584,60,22,97,99,59,61,66.3333333333333,0.211437361778468,0.931157699182747,0.0267464326443944,0.022327782231815,0.236932376973309,0.223353698393386,0.275325891867353
AGO,1994,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,3890.687,4438321017.39068,13503747,5806611,3000000,1246700,3890.687,4438321017.39068,13503747,5806611,60.5,22,112,111,59,60,70.75,0.211813928810104,0.93120579208135,0.0179612894823647,0.0160151108485379,0.241033210967269,0.233455366204353,0.27524744973233
AGO,1995,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,10975.331,5538749259.94714,13945206,6159458,3000000,1246700,10975.331,5538749259.94714,13945206,6159458,61,22,86,108,59,58,65.6666666666667,0.212201321908046,0.931205583364288,0.0497279086612022,0.0179849328729982,0.245278369033284,0.242061129142457,0.283076540830379
AGO,1996,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,10458.284,7526446605.51712,14400719,6530150,3000000,1246700,10458.284,7526446605.51712,14400719,6530150,61.5,22,88,95,59,58,63.9166666666667,0.213460653477337,0.931205026785913,0.0460905709847518,0.0239370656584117,0.249655764095967,0.250918019740187,0.285877850123761
AGO,1997,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,7381.671,7648377412.83277,14871570,6918998,3000000,1246700,7381.671,7648377412.83277,14871570,6918998,60,22,98,98,58,57,65.5,0.212670369319218,0.930727032586927,0.0324260383181472,0.0244483515342364,0.254185106898104,0.260011198374061,0.285744682838449
AGO,1998,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,7308.331,6506229607.29432,15359601,7328066,3000000,1246700,7308.331,6506229607.29432,15359601,7328066,60,22,97,105,57,55,66,0.212261651817317,0.930916530477628,0.0323190191103568,0.0208474721072344,0.258920368775883,0.269415517984526,0.287446760045491
AGO,1999,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,9156.499,6152922942.98032,15866869,7758423,3000000,1246700,9156.499,6152922942.98032,15866869,7758423,62,22,91,111,56,53,65.8333333333333,0.21219003281009,0.930916530477628,0.03984953588269,0.0190121084256466,0.263898736332697,0.279157331984385,0.290837379318856
AGO,2000,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,9541.534,9129594818.60749,16395473,8212001,3000000,1246700,9541.534,9129594818.60749,16395473,8212001,63,22,94,93,56,52,63.3333333333333,0.212861277387606,0.930915967454783,0.0403280068100806,0.0273358438068947,0.269124136241827,0.289222256513366,0.294964581369093
AGO,2001,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3000000,1246700,9732.218,8936063723.20121,16945753,8688765,3000000,1246700,9732.218,8936063723.20121,16945753,8688765,63,22,91,96,54,50,62.6666666666667,0.213308853507844,0.930913253892901,0.0408218280809003,0.0268925736115259,0.27458824685627,0.299207041037244,0.297621966164447
AGO,2002,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3100000,1246700,12665.818,15285594828.418,17519417,9190861,3100000,1246700,12665.818,15285594828.418,17519417,9190861,62,22,86,80,54,48,58.6666666666667,0.221164317662836,0.930910301402602,0.0519923504334551,0.0443055272577564,0.280297420210686,0.309218643895915,0.306314760143875
AGO,2003,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3300000,1246700,9064.824,17812705294.325,18121479,9721267,3300000,1246700,9064.824,17812705294.325,18121479,9721267,60,22,95,81,54,47,59.8333333333333,0.234736839552531,0.93090751141228,0.0353923035941993,0.0459927815595403,0.286309679085352,0.319604536065441,0.308823941878224
AGO,2004,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3300000,1246700,18793.375,23552052407.5488,18758145,10284528,3300000,1246700,18793.375,23552052407.5488,18758145,10284528,61,22,79,76,54,46,56.3333333333333,0.234241985664028,0.930920412872284,0.0700851731458781,0.0539838870415974,0.292688474729345,0.330441830200575,0.318726960608951
AGO,2005,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3300000,1246700,19156.408,36970918699.2523,19433602,10882817,3300000,1246700,19156.408,36970918699.2523,19433602,10882817,60,22,80,69,54,46,55.1666666666667,0.233560389763595,0.930906806806375,0.0690438886320232,0.0781873016692712,0.299484122501736,0.341761513649915,0.325490670503819
AGO,2006,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3300000,1246700,22266.024,52381006892.038,20149901,11437890,3300000,1246700,22266.024,52381006892.038,20149901,11437890,60.5,22,77,66,53,45,53.9166666666667,0.235291733647956,0.930904478384016,0.0775054810607941,0.102155239462543,0.30669934038211,0.35118258483102,0.33395647629474
AGO,2007,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3400000,1246700,25151.953,65266452081.386,20905363,12025601,3400000,1246700,25151.953,65266452081.386,20905363,12025601,60,22,75,65,51,45,53,0.24278484452737,0.930904193566322,0.086153257174965,0.112988453730324,0.314304835234488,0.361126678916298,0.341377043858294
AGO,2008,Angola,Luanda,13.242,-8.81155,Sub-Saharan Africa,Lower middle income,3400000,1246700,25709.337,88538611205.1433,21695634,12644649,3400000,1246700,25709.337,88538611205.1433,21695634,12644649,61,22,76,64,51,45,53.1666666666667,0.24239117951096,0.929519744101213,0.0846424069314781,0.139664282331811,0.322184140908919,0.371310647996026,0.348285400296735
